Input,stack,Output,,,
"[ a , b , c , d ] || e",,a b c d [4 e ||,,,
[,[,,,,
a,[1,a,,,
",",[1,a,,,
b,[2,a b,,,
",",[2,a b,,,
c,[3,a b c,,,
",",[3,a b c,,,
d,[4,a b c d,,,
],,a b c d [4,,,
||,||,a b c d [4,,,
e,||,a b c d [4 e,,,
,,a b c d [4 e ||,,,
,,,,,
,,,,,
,,,,,
"[a,b,[c||f,d]] && e",,a b c f || d [2 [3 e &&,,,
[,[,,,,
a,[1,a,,,
",",[1,a,,,
b,[2,a b ,,,
",",[2,a b ,,,
[,[2 [,a b ,,,
c,[2 [1,a b c,,,
||,[2 [1 ||,a b c,,,
f,[2 [1 ||,a b c f,,,
",",[2 [1,a b c f ||,,,
d,[2 [2,a b c f || d,,,
],[3,a b c f || d [2,,,
],,a b c f || d [2 [3,,,
&&,&&,a b c f || d [2 [3,,,
e,&&,a b c f || d [2 [3 e,,,
,,a b c f || d [2 [3 e &&,,,